who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
World,I_PH_TOBACCO_POLICY,0,0,962748647.692458,0.000220007870405245,8469250801.34706,0.00184455520925349,15735790472.1064,0.00353546099323047,176621068946.017,0.00157935695358188
South-East Asia,I_PH_TOBACCO_TAX,0,0,4786851838.57915,0.00109389411397818,42175120921.6013,0.00918550422245874,78607755116.6444,0.0176613086246252,880499117498.77,0.00787347971645121
World,I_PH_TOBACCO_TAX,0,0,4786851838.57915,0.00109389411397818,42175120921.6013,0.00918550422245874,78607755116.6444,0.0176613086246252,880499117498.77,0.00787347971645121
South-East Asia,I_RHD_SECONDARY,169971255.917029,4.10860087574521e-05,581037963.020617,0.000132779126904162,1439497791.96517,0.000313514526037643,2030591370.71837,0.000456225989859929,30338124858.2527,0.000271285462937389
World,I_RHD_SECONDARY,169971255.917029,4.10860087574521e-05,581037963.020617,0.000132779126904162,1439497791.96517,0.000313514526037643,2030591370.71837,0.000456225989859929,30338124858.2527,0.000271285462937389
South-East Asia,I_RHD_SURGERY,309217760.711639,7.47451300281019e-05,1054858730.66448,0.000241056919132653,2615890563.38696,0.000569726257813148,3730648737.37466,0.000838188784593484,55309956039.9931,0.000494585182817406
World,I_RHD_SURGERY,309217760.711639,7.47451300281019e-05,1054858730.66448,0.000241056919132653,2615890563.38696,0.000569726257813148,3730648737.37466,0.000838188784593484,55309956039.9931,0.000494585182817406
South-East Asia,I_STROKE_SECONDARY,306788463.097745,7.41579122511878e-05,966467976.705309,0.000220857813593859,2467830781.80477,0.000537479669796775,3732131324.75723,0.000838521887011785,52925966387.5464,0.000473267394077209
World,I_STROKE_SECONDARY,306788463.097745,7.41579122511878e-05,966467976.705309,0.000220857813593859,2467830781.80477,0.000537479669796775,3732131324.75723,0.000838521887011785,52925966387.5464,0.000473267394077209
South-East Asia,all,4621705281.55729,0.00111717374004178,28553800720.3086,0.0065251308360784,125127193481.231,0.0272519992581119,236289930997.804,0.0530887746387249,2725142444430.78,0.0243683989390211
World,all,4621705281.55729,0.00111717374004178,28553800720.3086,0.0065251308360784,125127193481.231,0.0272519992581119,236289930997.804,0.0530887746387249,2725142444430.78,0.0243683989390211
South-East Asia,all_public_health,0,0,29994890004.3587,0.00685444938169007,122532451432.425,0.0266868790278747,175925760706.291,0.0395263692525661,2456927931006.15,0.021970007516318
World,all_public_health,0,0,29994890004.3587,0.00685444938169007,122532451432.425,0.0266868790278747,175925760706.291,0.0395263692525661,2456927931006.15,0.021970007516318
