scenario,age,cause,sex,year,well,sick,newcases,dead,pop,all.mx,intervention,location
baseline,40,rhd,Female,2032,2001926.56572717,16977.6651264913,65.852405072595,78.6429712919324,2024994.18277825,6089.95192459275,b.a.u,Indonesia
fair_only,87,cmd,Male,2017,38545.9369433238,185.99704482453,0,25.0418835397155,43502.5,4795.60789539135,FAIR,Indonesia
baseline,82,rhd,Male,2017,118819.527117187,232.809800085899,0,4.56604640832094,130062,11014.2291291356,b.a.u,Indonesia
all_plus_fair,84,rhd,Female,2026,268977.954663995,908.396387489893,11.827227404906,11.211084875368,289902.050119699,20015.6990682136,FAIR,Indonesia
all_plus_fair,31,istroke,Female,2030,2125931.82637628,6711.56698146784,424.539737437803,68.0411730537429,2136069.99799174,3426.60463398991,FAIR,Indonesia
all_plus_fair,83,cmd,Male,2020,130482.778148908,450.376207436443,131.141907403911,87.1204421222973,143565.121140035,12631.9667836907,FAIR,Indonesia
all_plus_fair,86,cmd,Female,2035,273107.041943247,1095.72302498753,267.906110499614,68.4517575334914,292587.522213216,18384.7572449812,FAIR,Indonesia
fair_only,73,hhd,Male,2047,953456.595294142,12718.1798714363,1686.83372463139,1266.0720480212,1011010.72134175,44835.9461761685,FAIR,Indonesia
fair_only,69,hstroke,Male,2020,532906.176564803,2678.95424381633,2277.93037345162,2913.75268885299,559343.184244718,23758.0534360981,FAIR,Indonesia
fair_only,59,cmd,Male,2029,1466163.18129535,263.712295598072,86.6501669649301,82.2260049811444,1494456.51167969,28029.6180887323,FAIR,Indonesia
baseline,79,cmd,Male,2041,527321.204397111,722.64048384043,156.613558707393,171.495267896939,561216.584215584,33172.7393346329,b.a.u,Indonesia
baseline,36,ihd,Female,2023,1993632.37378222,17940.272820835,1737.20153884363,599.075353120816,2015761.29082823,4188.64422518068,b.a.u,Indonesia
fair_only,57,rhd,Male,2044,1737971.46550039,13270.2367919765,43.4734639575673,47.0779824393313,1779324.12508752,28082.4227951475,FAIR,Indonesia
fair_only,39,ihd,Male,2039,2126909.71195262,29424.9326427043,5018.76481596814,1351.57905847021,2163667.83489411,7333.19029878589,FAIR,Indonesia
fair_only,73,hhd,Male,2046,941714.66249194,12458.3499554118,1666.25012509707,1257.79543602482,998571.938105722,44398.9256583698,FAIR,Indonesia
baseline,39,istroke,Male,2025,2071468.33490724,15709.1630179011,1879.49935582164,123.499162792362,2094759.10044768,7581.60252253668,b.a.u,Indonesia
all_plus_fair,39,hstroke,Female,2043,2087235.13057096,11320.3683231463,1790.85384467635,667.757550152406,2104048.18537156,5492.68647745512,FAIR,Indonesia
baseline,48,ihd,Male,2024,1804743.89813374,51329.5717639575,5937.88872965681,4236.4656282326,1873787.97321266,17714.5033149632,b.a.u,Indonesia
all_plus_fair,38,ihd,Male,2034,2162407.36127694,26243.8890410521,4551.4738785059,1118.96891500344,2195364.95465114,6713.70433314624,FAIR,Indonesia
fair_only,83,ihd,Male,2021,122674.187768428,17315.9251866098,1353.52281320953,1685.3712445387,154754.847705091,14764.7347500539,FAIR,Indonesia
baseline,51,rhd,Male,2046,1959417.19287259,13753.3771816247,57.5264239642565,67.0049108980724,1994332.22460146,21161.6545472473,b.a.u,Indonesia
all_plus_fair,27,cmd,Female,2043,2242481.74612444,339.278011967592,19.3593377156008,35.9172351346763,2245602.57162303,2781.54748662111,FAIR,Indonesia
all_plus_fair,50,hstroke,Male,2039,1945804.4408129,9605.45985744122,2921.53656053243,2776.92324648404,1976845.85263779,21435.9519674527,FAIR,Indonesia
baseline,75,rhd,Male,2017,302233.515333673,768.23174958774,0,8.57296054671664,320046.5,17053.3258772862,b.a.u,Indonesia
baseline,23,ihd,Male,2047,2180847.0718648,6112.48985267916,1513.68700594867,222.615786240672,2190683.91881495,3724.35709747243,b.a.u,Indonesia
all_plus_fair,44,hstroke,Male,2035,2050434.44703894,9494.06918116634,1810.88445375011,1908.60445133179,2070651.17606402,10722.6598439162,FAIR,Indonesia
baseline,57,dm2,Male,2044,1438861.6605373,306748.354442582,8228.85604472995,2056.83516408383,1774552.22342457,28942.2084446846,b.a.u,Indonesia
fair_only,24,cmd,Male,2025,2230725.26559942,547.427294421897,19.8019408278775,18.3612938131641,2235434.04631981,4161.35342597012,FAIR,Indonesia
baseline,28,rhd,Male,2038,2384205.67793281,16969.9826609542,189.628775249653,56.4198579681669,2406437.62204167,5261.96144790733,b.a.u,Indonesia
baseline,68,istroke,Male,2024,664424.872544241,56484.1584976169,6072.58227037648,3178.11988240566,749132.605313959,28223.5742721007,b.a.u,Indonesia
fair_only,44,istroke,Female,2032,1962095.81598598,12396.2880429431,770.889172482979,239.244076853815,1983297.55511648,8805.45108755917,FAIR,Indonesia
