cause,year,prev_model,death_model,prev_target,death_target
hstroke,2033,1172926.37126758,256655.559026211,1214496.29720258,277171.895919058
hstroke,2034,1174094.28601713,256753.127116244,1219148.2827598,279504.733271524
hstroke,2035,1174929.42115476,256807.532230081,1223215.77301416,281608.83281891
hstroke,2036,1175636.36529532,256933.398229342,1226894.44173959,283659.287098491
hstroke,2037,1176108.45141302,257070.973149134,1230122.53681572,285531.092936508
hstroke,2038,1176344.16319777,257130.676610817,1232826.79495774,287190.974441803
hstroke,2039,1176168.65110099,257441.86914337,1235044.85252805,288810.125863796
hstroke,2040,1175739.04422689,257451.80463236,1236809.4027226,290107.256816847
hstroke,2041,1175160.11017185,257389.631754286,1238296.03631503,291237.703092189
hstroke,2042,1174384.53505922,257198.349756019,1239395.70801141,292134.935333216
hstroke,2043,1173382.82780376,256777.587157068,1239967.28529051,292737.770402687
hstroke,2044,1171954.61015216,256436.399818879,1240132.45845262,293157.925685105
hstroke,2045,1170381.03246941,255976.908113305,1240008.46978414,293495.980570306
hstroke,2046,1168768.80707638,255431.161412817,1239711.92264572,293716.693745539
hstroke,2047,1166982.37904755,254760.803670819,1239096.51838228,293732.275030831
hstroke,2048,1164967.21699673,253872.047418824,1237974.26328864,293440.053393428
hstroke,2049,1162574.95282764,253105.506935702,1236511.75040032,293099.160481179
hstroke,2050,1160102.4922669,252158.933158969,1234906.93285622,292610.691627406
ihd,2023,4834902.14329305,328567.953247277,5022386.0275316,305341.508643664
ihd,2025,5102083.90698855,335724.869793767,5287141.11186364,324657.285038594
ihd,2026,5224992.02984447,342960.135281865,5422012.81293045,334492.600182388
ihd,2027,5345060.56439589,349405.300730343,5558098.03910634,344304.825517186
ihd,2028,5463892.28222306,356159.252906041,5695459.24501666,354385.529727772
ihd,2029,5577335.16444688,363892.268279926,5832792.18645067,364799.473854425
ihd,2030,5692434.95186848,368920.443479077,5970498.5857884,375261.968918546
ihd,2031,5809459.27108144,374207.729078974,6108812.42907493,385345.673287629
ihd,2032,5927965.33586751,380127.647848666,6247445.54385529,395449.293894064
ihd,2033,6048231.79901667,386583.230936034,6386633.6937722,405440.095412392
ihd,2034,6165314.81756487,393806.920121914,6525164.60176141,415511.758676772
ihd,2035,6284033.10491272,399492.950532998,6662693.57391568,425553.699918226
ihd,2036,6403647.07460713,405992.653493878,6799522.32855049,435781.054798543
ihd,2037,6523601.43550818,413018.343093551,6935435.02201864,446001.328217635
ihd,2038,6644008.192335,420445.264129068,7070606.02505658,456083.942151898
ihd,2039,6760238.21942814,428444.568481745,7203653.75754958,466319.486410509
ihd,2040,6876037.34665342,435208.840989962,7334050.69299855,476275.797180137
ihd,2041,6990953.04348834,442324.306406792,7462604.71044938,486135.672797989
ihd,2042,7104796.47237168,449601.261227495,7589247.50416802,495781.736414276
ihd,2043,7217825.7559417,456915.722046172,7714173.60027207,505100.370798328
ihd,2044,7326275.74827768,464236.623828497,7836211.40095683,514182.140778753
ihd,2045,7432902.55351556,470920.29436777,7954647.24894191,523268.384433641
ihd,2046,7537569.08606469,477828.931731945,8070699.42934699,532289.480612478
ihd,2047,7640350.68929374,484667.16956347,8184320.14028236,540976.489800571
ihd,2048,7741657.53723872,491307.709328566,8295666.99935716,549208.033203778
ihd,2049,7838208.38053693,498010.651524044,8403592.92857232,557389.771648423
ihd,2050,7932343.49493125,504089.426791864,8507695.40047306,565326.862857018
istroke,2023,3278087.15849186,182844.764481632,2971939.22607601,149212.43944425
istroke,2025,3359293.39632981,190841.880003208,3121133.04485525,155998.893529113
istroke,2026,3393164.15926814,190574.613818848,3197871.42238955,159532.866247583
istroke,2027,3428104.45890843,189031.100445512,3275596.35356844,163041.853213166
istroke,2028,3465747.61457096,187116.639879467,3354399.828421,166742.428071557
istroke,2029,3502593.31171439,186821.560087493,3433490.31636965,170518.636399256
istroke,2030,3542691.85482682,185442.493190958,3513127.18670073,174530.640540462
istroke,2031,3586031.25915095,184315.562373235,3593210.53603176,178384.611705506
istroke,2032,3632285.26403196,183730.084212538,3673581.04461291,182398.190833381
istroke,2033,3681778.8485299,183583.042202715,3754449.33872021,186536.241622138
istroke,2034,3730399.1916744,184800.885019324,3835057.86722637,190694.285532464
istroke,2035,3780927.55109093,185365.761103579,3914873.03131336,194953.811865179
istroke,2036,3832819.28381039,186417.92722248,3993935.10481684,199384.391316019
istroke,2037,3885893.24294334,187788.312528489,4072176.21348913,203885.844653549
istroke,2038,3940465.16247086,189347.422266605,4149879.02632394,208403.195527888
istroke,2039,3992870.60799461,191929.610855123,4226010.34648835,213057.302398444
istroke,2040,4045463.69604267,193853.250747764,4300113.07664954,217600.756918724
istroke,2041,4097969.09263275,195926.907201396,4372608.33335389,222072.336114678
istroke,2042,4150496.73415923,198082.814103714,4443625.68200255,226443.843031631
istroke,2043,4203414.84870552,200204.274251736,4513546.93071548,230666.632955834
istroke,2044,4253886.61288298,202762.435405402,4581354.6555745,234718.029880372
istroke,2045,4303545.27367282,204869.328897989,4646482.04485209,238727.530619786
istroke,2046,4352285.37225385,207048.945254603,4709669.9754371,242659.552169462
istroke,2047,4400430.51961213,209160.858915749,4771163.01741878,246376.165730849
istroke,2048,4448369.87092614,211189.299415093,4831383.84920184,249880.083876282
istroke,2049,4493731.96760097,213580.236200068,4889214.92317786,253325.90893678
istroke,2050,4537737.02343236,215570.737440482,4944263.06862582,256557.334198443
rhd,2023,1451769.9273105,5477.67454592907,1341980.85128876,4951.61151393472
rhd,2025,1502673.00418473,5303.42230174403,1364943.92752935,4699.95765041363
rhd,2026,1526383.55656375,5105.60955478559,1376277.55744599,4572.45861553293
rhd,2027,1549466.27519478,4921.4971535539,1387316.84947745,4441.34578361657
rhd,2028,1571763.51342684,4742.08557297834,1397511.34637815,4308.4652239601
rhd,2029,1593471.92909459,4604.06814831639,1407315.72507682,4184.07971009088
rhd,2030,1615215.5658801,4432.1168533299,1417011.81178126,4055.68801774167
