location,sex,cause,age,RMSE_deaths_base,RMSE_prev_base,RMSE_deaths_cal,RMSE_prev_cal,base_err,cal_err,n_eval,n_par,hit_bound,bg_modified_rows
Indonesia,Female,Hypertensive heart disease,30-34 years,8.71372279282618,242.320956918423,13.4816004117641,524.066816161262,240.030179470513,73.148842546316,155,32,FALSE,0
Indonesia,Female,Hypertensive heart disease,35-39 years,46.0179324363924,495.662398699248,102.999745232167,441.720949403637,240.030179470513,73.148842546316,155,32,FALSE,0
Indonesia,Female,Hypertensive heart disease,40-44 years,33.3273606637127,752.014702844576,83.7670774725974,879.956288077368,240.030179470513,73.148842546316,155,32,FALSE,0
Indonesia,Female,Hypertensive heart disease,45-49 years,46.5022070185097,386.637190738898,349.992874335421,1049.80064043152,240.030179470513,73.148842546316,155,32,FALSE,0
Indonesia,Female,Hypertensive heart disease,50-54 years,116.772058040629,432.664282478238,50.2530298898815,579.379866078291,240.030179470513,73.148842546316,155,32,FALSE,0
Indonesia,Female,Hypertensive heart disease,55-59 years,434.047615560849,3834.33590139887,114.301949545927,804.747872919375,240.030179470513,73.148842546316,155,32,FALSE,0
Indonesia,Female,Hypertensive heart disease,60-64 years,456.416399601083,7053.79131569563,355.182296689349,3162.26210579992,240.030179470513,73.148842546316,155,32,FALSE,0
Indonesia,Female,Hypertensive heart disease,65-69 years,618.453797343827,5187.30611745435,576.237509632852,2588.4608740044,240.030179470513,73.148842546316,155,32,FALSE,0
Indonesia,Female,Hypertensive heart disease,70-74 years,815.858827254037,10967.8672956947,591.930485088197,4699.01773706034,240.030179470513,73.148842546316,155,32,FALSE,0
Indonesia,Female,Hypertensive heart disease,75-79 years,1732.12804686815,18439.3704745738,965.767793631838,7735.68357398429,240.030179470513,73.148842546316,155,32,FALSE,0
Indonesia,Female,Hypertensive heart disease,80-84 years,2051.76813889787,20948.7276834619,617.770594452727,10380.061670872,240.030179470513,73.148842546316,155,32,FALSE,0
Indonesia,Female,Hypertensive heart disease,85-89 years,1777.83570163612,13832.2835276119,390.168726292768,8218.54817846147,240.030179470513,73.148842546316,155,32,FALSE,0
Indonesia,Female,Hypertensive heart disease,90-94 years,1000.39168366369,5062.92154817554,225.876418380372,3432.34037133844,240.030179470513,73.148842546316,155,32,FALSE,0
Indonesia,Female,Hypertensive heart disease,95+ years,548.33842710821,2040.17039252971,618.230102173031,2120.5759765067,240.030179470513,73.148842546316,155,32,FALSE,0
Indonesia,Female,Intracerebral hemorrhage,20-24 years,53.6512125284453,1825.86049300198,39.5844748789329,901.311610232277,306.165592016634,67.617242667126,203,32,FALSE,0
Indonesia,Female,Intracerebral hemorrhage,25-29 years,132.188725736813,937.041874166593,79.2376078316413,888.501271131527,306.165592016634,67.617242667126,203,32,FALSE,0
Indonesia,Female,Intracerebral hemorrhage,30-34 years,155.714128270061,1381.3003530582,63.1780910114241,935.648086100404,306.165592016634,67.617242667126,203,32,FALSE,0
Indonesia,Female,Intracerebral hemorrhage,35-39 years,516.67735794487,2605.97650650485,173.485484257992,534.681519517459,306.165592016634,67.617242667126,203,32,FALSE,0
Indonesia,Female,Intracerebral hemorrhage,40-44 years,438.502979194195,3579.35472196036,1700.0475965237,2898.27469288967,306.165592016634,67.617242667126,203,32,FALSE,0
Indonesia,Female,Intracerebral hemorrhage,45-49 years,878.049401769797,4716.94025705619,1503.96733240554,4380.63250235897,306.165592016634,67.617242667126,203,32,FALSE,0
Indonesia,Female,Intracerebral hemorrhage,50-54 years,1259.2068394063,5008.21109988191,1777.2735720117,2750.40469163819,306.165592016634,67.617242667126,203,32,FALSE,0
Indonesia,Female,Intracerebral hemorrhage,55-59 years,2965.58476580752,6925.87149542683,1917.75426391234,8588.19238995274,306.165592016634,67.617242667126,203,32,FALSE,0
Indonesia,Female,Intracerebral hemorrhage,60-64 years,3348.52405440324,7750.98495981021,2291.2548871456,4349.98009555685,306.165592016634,67.617242667126,203,32,FALSE,0
Indonesia,Female,Intracerebral hemorrhage,65-69 years,3630.45590303634,8605.91767982541,2638.90278060396,4134.75477948031,306.165592016634,67.617242667126,203,32,FALSE,0
Indonesia,Female,Intracerebral hemorrhage,70-74 years,5672.06780622845,11296.4868074588,4057.98431480856,5740.99004195834,306.165592016634,67.617242667126,203,32,FALSE,0
Indonesia,Female,Intracerebral hemorrhage,75-79 years,6376.77477390436,12378.8803265373,2896.72157389331,4023.95839033972,306.165592016634,67.617242667126,203,32,FALSE,0
Indonesia,Female,Intracerebral hemorrhage,80-84 years,6086.0141822309,11532.509681036,2412.78373972047,1724.13310721114,306.165592016634,67.617242667126,203,32,FALSE,0
