"scenario_id","location","sex","age_group","cause","RMSE_deaths","RMSE_prev","error","IRadjust","CFadjust"
11,"Indonesia","Male","20-24","hhd",30.4478421180143,283.99922521418,344.894909450209,0.8,1
11,"Indonesia","Male","20-24","hstroke",269.084745766397,4363.44437839488,4901.61386992767,0.8,1
11,"Indonesia","Male","20-24","ihd",517.618757605966,18601.052727964,19636.2902431759,0.8,1
11,"Indonesia","Male","20-24","istroke",42.2793226062643,7123.27108440305,7207.82972961558,0.8,1
11,"Indonesia","Female","25-29","Cardiomyopathy and myocarditis",85.2526835933372,1322.82115414058,1493.32652132725,0.8,1
11,"Indonesia","Female","25-29","Rheumatic heart disease",383.048885566528,93017.0029611282,93783.1007322613,0.8,1
11,"Indonesia","Female","25-29","hhd",30.5539493652336,413.657546721063,474.76544545153,0.8,1
11,"Indonesia","Female","25-29","hstroke",296.718553732403,5673.16405720453,6266.60116466934,0.8,1
11,"Indonesia","Female","25-29","ihd",305.203561736309,17410.8444530622,18021.2515765348,0.8,1
11,"Indonesia","Female","25-29","istroke",49.8292474862519,6287.46734222469,6387.1258371972,0.8,1
11,"Indonesia","Male","25-29","Cardiomyopathy and myocarditis",127.872846976996,1958.73747039591,2214.4831643499,0.8,1
11,"Indonesia","Male","25-29","Rheumatic heart disease",214.944917641886,78334.1601889212,78764.0500242049,0.8,1
11,"Indonesia","Male","25-29","hhd",57.4791203596054,331.416392325049,446.37463304426,0.8,1
11,"Indonesia","Male","25-29","hstroke",450.609396860682,5336.21232566766,6237.43111938902,0.8,1
11,"Indonesia","Male","25-29","ihd",634.69568002207,24915.1349785923,26184.5263386364,0.8,1
11,"Indonesia","Male","25-29","istroke",56.1582955975108,9506.933812544,9619.25040373903,0.8,1
11,"Indonesia","Female","30-34","Cardiomyopathy and myocarditis",92.2531553459774,1208.85369422113,1393.36000491308,0.8,1
11,"Indonesia","Female","30-34","Rheumatic heart disease",404.11759294831,92881.7335197866,93689.9687056833,0.8,1
11,"Indonesia","Female","30-34","hhd",40.9377941200891,744.86324989493,826.738838135108,0.8,1
11,"Indonesia","Female","30-34","hstroke",388.772440994,6340.78794751735,7118.33282950535,0.8,1
11,"Indonesia","Female","30-34","ihd",193.516364972176,20335.7028399481,20722.7355698924,0.8,1
11,"Indonesia","Female","30-34","istroke",44.0299269231239,8128.17423438748,8216.23408823373,0.8,1
11,"Indonesia","Male","30-34","Cardiomyopathy and myocarditis",163.708864554488,1815.0528651646,2142.47059427358,0.8,1
11,"Indonesia","Male","30-34","Rheumatic heart disease",203.324090850377,76712.5177745494,77119.1659562502,0.8,1
11,"Indonesia","Male","30-34","hhd",100.047153142867,595.840220877206,795.93452716294,0.8,1
11,"Indonesia","Male","30-34","hstroke",669.162076362644,5377.18148897954,6715.50564170483,0.8,1
11,"Indonesia","Male","30-34","ihd",581.908619138427,30936.8569900406,32100.6742283175,0.8,1
11,"Indonesia","Male","30-34","istroke",88.9530704476855,12151.5786328716,12329.484773767,0.8,1
11,"Indonesia","Female","35-39","Cardiomyopathy and myocarditis",93.852672743526,1180.08829409609,1367.79363958314,0.8,1
11,"Indonesia","Female","35-39","Rheumatic heart disease",438.584483215142,85898.0504870101,86775.2194534403,0.8,1
11,"Indonesia","Female","35-39","hhd",92.2671159056495,1154.25915345602,1338.79338526732,0.8,1
11,"Indonesia","Female","35-39","hstroke",812.807401336288,4700.7937310755,6326.40853374808,0.8,1
11,"Indonesia","Female","35-39","ihd",476.262967325287,19968.3449655629,20920.8709002135,0.8,1
11,"Indonesia","Female","35-39","istroke",153.240105239037,9698.55901486769,10005.0392253458,0.8,1
11,"Indonesia","Male","35-39","Cardiomyopathy and myocarditis",193.844294245989,1885.4831967646,2273.17178525658,0.8,1
11,"Indonesia","Male","35-39","Rheumatic heart disease",197.024258248367,69950.334589512,70344.3831060088,0.8,1
11,"Indonesia","Male","35-39","hhd",210.583138485557,926.46251292613,1347.62878989724,0.8,1
11,"Indonesia","Male","35-39","hstroke",1006.53595251076,3288.94360920567,5302.0155142272,0.8,1
11,"Indonesia","Male","35-39","ihd",1216.33070730607,36748.2712299338,39180.932644546,0.8,1
11,"Indonesia","Male","35-39","istroke",179.125300783103,15539.8206604541,15898.0712620203,0.8,1
11,"Indonesia","Female","40-44","Cardiomyopathy and myocarditis",106.311592109871,1120.49228828596,1333.1154725057,0.8,1
11,"Indonesia","Female","40-44","Rheumatic heart disease",509.618675599875,72699.4264537554,73718.6638049552,0.8,1
11,"Indonesia","Female","40-44","hhd",80.6203441678361,1300.95769174915,1462.19838008483,0.8,1
11,"Indonesia","Female","40-44","hstroke",629.52881208373,1416.99825611296,2676.05588028042,0.8,1
11,"Indonesia","Female","40-44","ihd",156.581806410647,25384.3659901803,25697.5296030016,0.8,1
11,"Indonesia","Female","40-44","istroke",199.732470007107,12950.0002155484,13349.4651555626,0.8,1
