location,sex,cause,age,RMSE_deaths_base,RMSE_prev_base,RMSE_deaths_cal,RMSE_prev_cal,base_err,cal_err,n_eval,n_par,hit_bound,bg_modified_rows,pct_improvement
Indonesia,Female,Intracerebral hemorrhage,90-94 years,2032.76792957279,3215.48907345524,497.26273915145,1567.60088313086,306.165592016634,98.7165506948355,401,32,FALSE,0,67.7571375527162
Indonesia,Female,Intracerebral hemorrhage,95+ years,710.020946320532,1137.77801562255,823.51264399956,1214.31494236706,306.165592016634,98.7165506948355,401,32,FALSE,0,67.7571375527162
Indonesia,Female,Ischemic heart disease,20-24 years,48.1535910836681,5952.45846541125,57.0395939204072,8737.021088561,233.241304360712,133.98639145752,401,32,FALSE,0,42.5546037719341
Indonesia,Female,Ischemic heart disease,25-29 years,97.5146729363329,2298.45809458721,137.877601234428,10072.0616309612,233.241304360712,133.98639145752,401,32,FALSE,0,42.5546037719341
Indonesia,Female,Ischemic heart disease,30-34 years,112.339972989606,1269.43274998906,138.989327143576,3197.92768075708,233.241304360712,133.98639145752,401,32,FALSE,0,42.5546037719341
Indonesia,Female,Ischemic heart disease,35-39 years,285.621559738504,3949.04732799068,157.735374096246,7929.6085189483,233.241304360712,133.98639145752,401,32,FALSE,0,42.5546037719341
Indonesia,Female,Ischemic heart disease,40-44 years,279.722961397303,10121.4052574765,582.151307869686,14055.1453202415,233.241304360712,133.98639145752,401,32,FALSE,0,42.5546037719341
Indonesia,Female,Ischemic heart disease,45-49 years,291.626993956833,16555.4028380775,1973.31316644475,10648.6226697925,233.241304360712,133.98639145752,401,32,FALSE,0,42.5546037719341
Indonesia,Female,Ischemic heart disease,50-54 years,493.375920043281,23742.4291298249,1228.34365171851,9599.6029996579,233.241304360712,133.98639145752,401,32,FALSE,0,42.5546037719341
Indonesia,Female,Ischemic heart disease,55-59 years,1225.63730924408,31254.4059495839,1746.22835680257,24705.1531953859,233.241304360712,133.98639145752,401,32,FALSE,0,42.5546037719341
Indonesia,Female,Ischemic heart disease,60-64 years,1105.42613737632,34166.5357769218,2925.19446648642,29609.2019475177,233.241304360712,133.98639145752,401,32,FALSE,0,42.5546037719341
Indonesia,Female,Ischemic heart disease,65-69 years,2330.20770306019,43493.7869187151,1752.72201844878,24647.9169760151,233.241304360712,133.98639145752,401,32,FALSE,0,42.5546037719341
Indonesia,Female,Ischemic heart disease,70-74 years,3665.29892630668,73392.1474650264,4036.83387650709,43857.8993390625,233.241304360712,133.98639145752,401,32,FALSE,0,42.5546037719341
Indonesia,Female,Ischemic heart disease,75-79 years,6481.59686996397,90072.0503953469,4627.31229538299,63708.6890386997,233.241304360712,133.98639145752,401,32,FALSE,0,42.5546037719341
Indonesia,Female,Ischemic heart disease,80-84 years,6854.13694356473,82469.2635707554,2916.52595511067,75039.2084377531,233.241304360712,133.98639145752,401,32,FALSE,0,42.5546037719341
Indonesia,Female,Ischemic heart disease,85-89 years,5961.11390093161,49852.9747243761,3517.81851707995,50120.6749043158,233.241304360712,133.98639145752,401,32,FALSE,0,42.5546037719341
Indonesia,Female,Ischemic heart disease,90-94 years,3285.33530955659,17850.1677497682,1576.33759825199,21704.1190222196,233.241304360712,133.98639145752,401,32,FALSE,0,42.5546037719341
Indonesia,Female,Ischemic heart disease,95+ years,1639.99261184629,7119.81444903803,1809.06965513386,6776.56209870464,233.241304360712,133.98639145752,401,32,FALSE,0,42.5546037719341
Indonesia,Female,Ischemic stroke,20-24 years,7.1683695473641,1806.11278857164,2.1685960752614,922.960951389238,303.536644984001,169.782669938204,401,32,FALSE,0,44.0651819989798
Indonesia,Female,Ischemic stroke,25-29 years,17.9430404782389,768.096877165998,20.3106224869597,514.517855814515,303.536644984001,169.782669938204,401,32,FALSE,0,44.0651819989798
Indonesia,Female,Ischemic stroke,30-34 years,9.4702358635591,913.28144548027,62.2997308546667,2911.4277080766,303.536644984001,169.782669938204,401,32,FALSE,0,44.0651819989798
Indonesia,Female,Ischemic stroke,35-39 years,67.1188057131103,1910.68645849561,19.0151391922136,2256.01074770493,303.536644984001,169.782669938204,401,32,FALSE,0,44.0651819989798
Indonesia,Female,Ischemic stroke,40-44 years,39.3929274560947,3947.87694605333,184.672648686919,2100.50387649589,303.536644984001,169.782669938204,401,32,FALSE,0,44.0651819989798
Indonesia,Female,Ischemic stroke,45-49 years,128.358894071786,6804.62943825469,254.227866150522,3756.1081636483,303.536644984001,169.782669938204,401,32,FALSE,0,44.0651819989798
Indonesia,Female,Ischemic stroke,50-54 years,187.989892833753,10653.155097831,202.943769929503,7655.09595393028,303.536644984001,169.782669938204,401,32,FALSE,0,44.0651819989798
Indonesia,Female,Ischemic stroke,55-59 years,792.782990163228,15248.3554880409,197.888291126989,18525.4929631238,303.536644984001,169.782669938204,401,32,FALSE,0,44.0651819989798
Indonesia,Female,Ischemic stroke,60-64 years,597.641562541106,18349.3700354791,737.555282477408,27794.9123307543,303.536644984001,169.782669938204,401,32,FALSE,0,44.0651819989798
Indonesia,Female,Ischemic stroke,65-69 years,2516.80526989162,25551.1961499897,1951.75029046835,29042.9618576187,303.536644984001,169.782669938204,401,32,FALSE,0,44.0651819989798
Indonesia,Female,Ischemic stroke,70-74 years,3067.91464870854,44950.7217113414,4554.68489996299,35836.5175295073,303.536644984001,169.782669938204,401,32,FALSE,0,44.0651819989798
Indonesia,Female,Ischemic stroke,75-79 years,7687.25082862288,54302.1251151433,7002.25569715682,26865.5608403606,303.536644984001,169.782669938204,401,32,FALSE,0,44.0651819989798
Indonesia,Female,Ischemic stroke,80-84 years,8595.69984477373,49771.5092019332,5013.92831065171,26639.1271941417,303.536644984001,169.782669938204,401,32,FALSE,0,44.0651819989798
Indonesia,Female,Ischemic stroke,85-89 years,7935.41086001211,30173.8900352184,5391.59165567597,16776.3577319429,303.536644984001,169.782669938204,401,32,FALSE,0,44.0651819989798
Indonesia,Female,Ischemic stroke,90-94 years,4158.89411800033,9582.45653558055,2441.24555165374,10901.3020397058,303.536644984001,169.782669938204,401,32,FALSE,0,44.0651819989798
Indonesia,Female,Ischemic stroke,95+ years,1550.01743825535,2670.32900477244,1546.46600236753,2164.71600483251,303.536644984001,169.782669938204,401,32,FALSE,0,44.0651819989798
Indonesia,Female,Rheumatic heart disease,20-24 years,27.3928762586823,6351.30229897981,14.3953224159558,5760.47320048166,512.003200438671,266.319546550166,401,32,FALSE,0,47.9847887040569
Indonesia,Female,Rheumatic heart disease,25-29 years,20.6655618361518,4031.10199765167,37.0757459553823,5326.58234030854,512.003200438671,266.319546550166,401,32,FALSE,0,47.9847887040569
Indonesia,Female,Rheumatic heart disease,30-34 years,16.3381887829805,7803.87569405158,35.7184691882911,9199.26475410207,512.003200438671,266.319546550166,401,32,FALSE,0,47.9847887040569
Indonesia,Female,Rheumatic heart disease,35-39 years,52.3725738119333,2638.1559474679,84.4403542559813,3096.19954263013,512.003200438671,266.319546550166,401,32,FALSE,0,47.9847887040569
Indonesia,Female,Rheumatic heart disease,40-44 years,48.1761281582023,6039.7789332084,171.353211908877,6653.20326125045,512.003200438671,266.319546550166,401,32,FALSE,0,47.9847887040569
Indonesia,Female,Rheumatic heart disease,45-49 years,115.581135593954,10768.3272018141,114.594992991127,10491.8007040407,512.003200438671,266.319546550166,401,32,FALSE,0,47.9847887040569
Indonesia,Female,Rheumatic heart disease,50-54 years,118.188549632516,11533.2508267108,134.721353182855,11471.5003446127,512.003200438671,266.319546550166,401,32,FALSE,0,47.9847887040569
Indonesia,Female,Rheumatic heart disease,55-59 years,111.312256979831,10101.0785380756,23.7989102540483,10382.0885974044,512.003200438671,266.319546550166,401,32,FALSE,0,47.9847887040569
Indonesia,Female,Rheumatic heart disease,60-64 years,95.8327631518318,7266.05746989564,116.468096796234,7618.55947863531,512.003200438671,266.319546550166,401,32,FALSE,0,47.9847887040569
Indonesia,Female,Rheumatic heart disease,65-69 years,75.1039893499343,5126.45238733612,25.2523072451201,5505.37027015859,512.003200438671,266.319546550166,401,32,FALSE,0,47.9847887040569
Indonesia,Female,Rheumatic heart disease,70-74 years,74.5506438054867,4743.43590940922,14.1015691356008,5158.16483953702,512.003200438671,266.319546550166,401,32,FALSE,0,47.9847887040569
Indonesia,Female,Rheumatic heart disease,75-79 years,64.5031147470602,3838.31750301819,26.6715301674202,4054.6690625301,512.003200438671,266.319546550166,401,32,FALSE,0,47.9847887040569
Indonesia,Female,Rheumatic heart disease,80-84 years,52.3461980458171,2473.51440871084,24.7489553071806,2677.84325507045,512.003200438671,266.319546550166,401,32,FALSE,0,47.9847887040569
Indonesia,Female,Rheumatic heart disease,85-89 years,37.006528164048,1079.70990728227,15.9072602921091,1193.66493865248,512.003200438671,266.319546550166,401,32,FALSE,0,47.9847887040569
Indonesia,Female,Rheumatic heart disease,90-94 years,18.3617765888209,281.221172029252,15.8232693321982,349.010345310125,512.003200438671,266.319546550166,401,32,FALSE,0,47.9847887040569
Indonesia,Female,Rheumatic heart disease,95+ years,7.51886209603315,70.1926635919972,7.44920779561149,65.7078137034898,512.003200438671,266.319546550166,401,32,FALSE,0,47.9847887040569
Indonesia,Male,Cardiomyopathy and myocarditis,20-24 years,20.1404388131086,83.5396717676361,19.5969065005451,81.1886969283125,286.788390085317,108.358627131707,401,32,FALSE,0,62.2165223984585
