age,sex,cause,year,location,BG.mx.all,ALL.mx,BG.mx,PREVt0,DIS.mx.t0,Nx,cause_id,age_group,age_mid,population,all_cause_mx,all_cause_deaths,cause_fraction_raw,cause_fraction,selected_fraction_sum_raw,fraction_adjustment_factor,incidence_rate,prevalence_rate,cause_name,gbd_cause_name,cause_mx,cause_deaths,incident_cases,prevalent_cases,epidemiology_source,scaling_source,incidence_available,incidence_data_status,prevalence_available,prevalence_data_status,IR,CF,pop,check_well,check_sick,newcases,covid.mx
87,Female,istroke,2006,Indonesia,0.0479942405914472,0.0879166360111172,0.0736350691138077,0.0634457694021167,0.0142815668973095,41638.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0157131369351976,0.191480792824469,41638.5,,,0,0
30,Female,rhd,2037,Indonesia,0.00100501937574568,0.00156265859690452,0.00153208688244543,0.00863985033221008,3.05717144590937e-05,2066375.5,,,,,,,,,,,,,,,,,,,,,,,,,9.96126847239114e-05,0.00275577079718556,2066375.5,,,0,0
64,Female,dm2,2013,Indonesia,0.00862652058863317,0.0175916620554581,0.0164619696496676,0.127242470733746,0.00112969240579051,679357,,,,,,,,,,,,,,,,,,,,,,,,,0.00722713549924713,0.00721913698177556,679357,,,0,0
72,Male,hstroke,2039,Indonesia,0.0226365553268944,0.0452855314515018,0.0397440187756217,0.0092480888874423,0.00554151267588018,415699.5,,,,,,,,,,,,,,,,,,,,,,,,,0.00626751029411616,0.861862619202957,415699.5,,,0,0
23,Male,istroke,2027,Indonesia,0.00162014476351881,0.00157190075095685,0.00156654793883974,0.00225001910675662,5.35281211710868e-06,2267661.5,,,,,,,,,,,,,,,,,,,,,,,,,0.000185326096313761,0.00433166615578836,2267661.5,,,0,0
15,Male,hstroke,2024,Indonesia,0.000915809966178689,0.000959453215192784,0.000944893269706302,0.00110868989454078,1.45599454864813e-05,2293433.5,,,,,,,,,,,,,,,,,,,,,,,,,4.73801397268592e-05,0.021534852500647,2293433.5,,,0,0
36,Male,cmd,2035,Indonesia,0.0017930641027366,0.00250265917395117,0.00248523060513162,0.00020117362999914,1.74285688195477e-05,2172936.5,,,,,,,,,,,,,,,,,,,,,,,,,3.10811925267437e-05,0.0851369449457756,2172936.5,,,0,0
89,Female,dm2,2030,Indonesia,0.0554140958004415,0.0997250749091406,0.0949750728859891,0.110069873203702,0.00475000202315156,52438,,,,,,,,,,,,,,,,,,,,,,,,,0.00522840608795964,0.03131354360486,52438,,,0,0
36,Female,rhd,2038,Indonesia,0.00138621281970984,0.00217587742146783,0.00213987784802537,0.00910116597270204,3.59995734424587e-05,2096348,,,,,,,,,,,,,,,,,,,,,,,,,3.08068164862178e-05,0.00412094493995375,2096348,,,0,0
76,Female,istroke,2045,Indonesia,0.0164058680040428,0.0350433407782211,0.0309202197441171,0.0591788703128705,0.00412312103410393,428084,,,,,,,,,,,,,,,,,,,,,,,,,0.00959883619978428,0.0621366505947348,428084,,,0,0
