location,sex,cause,age,RMSE_deaths_base,RMSE_prev_base,RMSE_deaths_cal,RMSE_prev_cal,base_err,cal_err,n_eval,n_par,hit_bound,bg_modified_rows,nm_converged,pct_improvement
Indonesia,Female,Ischemic stroke,40-44 years,39.3929274560947,3947.87694605333,380.930743725339,7303.94418006673,303.536644984001,178.192269489344,2506,32,FALSE,0,FALSE,41.2946435186644
Indonesia,Female,Ischemic stroke,45-49 years,128.358894071786,6804.62943825469,99.3991097954418,10660.2369827662,303.536644984001,178.192269489344,2506,32,FALSE,0,FALSE,41.2946435186644
Indonesia,Female,Ischemic stroke,50-54 years,187.989892833753,10653.155097831,148.848048077384,25716.3574567388,303.536644984001,178.192269489344,2506,32,FALSE,0,FALSE,41.2946435186644
Indonesia,Female,Ischemic stroke,55-59 years,792.782990163228,15248.3554880409,1810.23098673087,16471.1259781143,303.536644984001,178.192269489344,2506,32,FALSE,0,FALSE,41.2946435186644
Indonesia,Female,Ischemic stroke,60-64 years,597.641562541106,18349.3700354791,371.098964120997,7996.35982887282,303.536644984001,178.192269489344,2506,32,FALSE,0,FALSE,41.2946435186644
Indonesia,Female,Ischemic stroke,65-69 years,2516.80526989162,25551.1961499897,3506.24607478477,15298.5136573052,303.536644984001,178.192269489344,2506,32,FALSE,0,FALSE,41.2946435186644
Indonesia,Female,Ischemic stroke,70-74 years,3067.91464870854,44950.7217113414,788.54913085556,32773.3500554206,303.536644984001,178.192269489344,2506,32,FALSE,0,FALSE,41.2946435186644
Indonesia,Female,Ischemic stroke,75-79 years,7687.25082862288,54302.1251151433,4697.7670903999,44414.3346245735,303.536644984001,178.192269489344,2506,32,FALSE,0,FALSE,41.2946435186644
Indonesia,Female,Ischemic stroke,80-84 years,8595.69984477373,49771.5092019332,6301.99690777094,30564.5828612329,303.536644984001,178.192269489344,2506,32,FALSE,0,FALSE,41.2946435186644
Indonesia,Female,Ischemic stroke,85-89 years,7935.41086001211,30173.8900352184,4016.64606572675,13840.5468371203,303.536644984001,178.192269489344,2506,32,FALSE,0,FALSE,41.2946435186644
Indonesia,Female,Ischemic stroke,90-94 years,4158.89411800033,9582.45653558055,2088.79921150425,12126.0697779255,303.536644984001,178.192269489344,2506,32,FALSE,0,FALSE,41.2946435186644
Indonesia,Female,Ischemic stroke,95+ years,1550.01743825535,2670.32900477244,1503.4734647731,1980.87075178865,303.536644984001,178.192269489344,2506,32,FALSE,0,FALSE,41.2946435186644
Indonesia,Female,Rheumatic heart disease,20-24 years,27.3928762586823,6351.30229897981,103.910664352649,6181.13690044696,512.003200438671,231.623219945455,2506,32,FALSE,0,FALSE,54.7613726345838
Indonesia,Female,Rheumatic heart disease,25-29 years,20.6655618361518,4031.10199765167,40.8392371875399,4505.64281697963,512.003200438671,231.623219945455,2506,32,FALSE,0,FALSE,54.7613726345838
